Ticker,TanggalTerakhir,HargaTerakhir,RSI_Terakhir,Akurasi,Presisi,ProbNaik_Next_%,ProbTurun_Next_%,BT_TotalRet_Strategy_%,BT_TotalRet_BuyHold_%,BT_CAGR_Strategy_%,BT_CAGR_BuyHold_%,BT_MaxDrawdown_%,BT_Sharpe,BT_Trades,BT_WinRate_%
GOTO.JK,2026-01-21,64.0,50.0,0.7872340425531915,0.6296296296296297,13.29062234062234,86.70937765937768,77.19132759037852,8.474576271186507,177.98721706249077,15.648322318790896,-1.666666666666683,3.709863387746378,15,73.33333333333333
BBRI.JK,2026-01-21,3820.0,73.52941176470588,0.758893280632411,0.7696078431372549,74.44437969437968,25.5556203056203,959.9434136301634,-14.671739081827972,224.05228631392382,-7.597732814284496,-3.0054633084030447,6.120082834573998,122,86.88524590163934
AAPL,2026-01-20,246.6999969482422,6.467120666792027,0.7073643410852714,0.7540322580645161,27.514025789025798,72.48597421097422,611.019958998157,28.930775430080892,160.63653525001956,13.212682570914858,-4.4314639863119005,5.174605737822963,161,81.98757763975155
BBRI.JK,2026-01-21,3820.0,73.52941176470588,0.7569169960474308,0.7658536585365854,74.92292337292335,25.07707662707662,971.3262417021367,-14.671739081828184,225.78077566109118,-7.597732814284619,-3.0054633084030447,6.110381897405995,126,86.5079365079365
BBRI.JK,2026-01-21,3820.0,73.52941176470588,0.758893280632411,0.7696078431372549,75.13991563991564,24.860084360084368,952.5116924881808,-14.671739081827951,222.9187429927688,-7.597732814284486,-1.5957458634593857,6.144828259797728,119,88.23529411764706
BBCA.JK,2026-01-21,7700.0,34.04255319148936,0.8102766798418972,0.8531073446327684,4.095861545861545,95.90413845413846,482.5887704986297,-7.782640802579321,140.52957355246437,-3.9547523269392926,0.0,6.043056347095109,108,96.29629629629629
BBCA.JK,2026-01-21,7700.0,34.04255319148936,0.8003952569169961,0.8333333333333334,4.366313316313316,95.63368668368669,490.78711730923663,-7.782619231852427,142.20937055170992,-3.9547411382818365,-0.2709882034981792,6.074864672918253,110,95.45454545454545
ARTO.JK,2026-01-21,1930.0,40.0,0.72,0.710691823899371,37.11780118030117,62.88219881969883,875.0589277446144,-24.31372549019596,257.9787797668962,-14.444173320632459,-2.298850574712652,4.852611976140661,77,81.81818181818183
BUMI.JK,2026-01-21,386.0,54.23728813559322,0.7545045045045045,0.7819548872180451,16.248737373737374,83.75126262626263,5612.805692894603,328.8888888888887,893.4151309034269,128.50641526471748,-4.166666666666652,4.529361619990332,81,83.9506172839506
MDKA.JK,2026-01-21,3310.0,81.98757763975155,0.7525987525987526,0.779874213836478,51.32232212232214,48.677677877677866,2025.134408844666,34.00809716599183,395.9399011687516,16.574895758498,-6.407085715237237,4.712019551473903,81,83.9506172839506
